timestamp,open,high,low,close,volume
2023-01-02,14.87,15.45,14.57,14.69,0
2023-01-03,14.69,14.99,14.31,14.39,0
2023-01-04,14.39,15.68,14.33,15.2,0
2023-01-05,15.2,15.6,14.81,14.98,0
2023-01-06,14.98,15.44,14.62,15.02,0
2023-01-09,15.02,15.38,14.53,14.65,0
2023-01-10,14.65,15.94,14.56,15.51,0
2023-01-11,15.51,16.23,15.11,15.44,0
2023-01-12,15.44,16.04,14.42,15.27,0
2023-01-13,15.27,15.6,14.4,14.46,0
2023-01-16,14.46,15.36,14.46,15.02,0
2023-01-17,15.02,15.31,13.84,14.59,0
2023-01-18,14.59,14.75,12.47,14.37,0
2023-01-19,14.37,14.83,13.89,13.96,0
2023-01-20,13.96,14.19,11.64,13.79,0
2023-01-23,13.79,14.26,13.48,13.62,0
2023-01-24,13.62,13.81,13.3,13.66,0
2023-01-25,13.66,15.42,13.52,14.65,0
2023-01-27,14.65,18.01,14.58,17.32,0
2023-01-30,17.32,19.39,17.29,17.71,0
2023-01-31,17.71,18.37,16.57,16.88,0
2023-02-01,16.88,18.54,14.85,16.78,0
2023-02-02,16.78,17.77,15.51,15.73,0
2023-02-03,15.73,15.76,14.27,14.4,0
2023-02-06,14.4,15.2,14.19,14.69,0
2023-02-07,14.69,14.88,13.66,14.12,0
2023-02-08,14.12,14.25,13.53,13.6,0
2023-02-09,13.6,13.81,12.06,13.04,0
2023-02-10,13.04,13.28,12.21,12.74,0
2023-02-13,12.74,14.1,11.83,13.68,0
2023-02-14,13.68,13.68,12.45,13.45,0
2023-02-15,13.45,13.45,11.28,12.86,0
2023-02-16,12.86,13.16,10.17,12.89,0
2023-02-17,12.89,13.52,10.8,13.09,0
2023-02-20,13.09,13.71,10.92,13.38,0
2023-02-21,13.38,14.3,13.38,14.01,0
2023-02-22,14.01,15.91,12.38,15.59,0
2023-02-23,15.59,16.01,14.52,15.07,0
2023-02-24,15.07,15.14,14.01,14.19,0
2023-02-27,14.19,15.1,13.75,13.88,0
2023-02-28,13.88,14.57,13.5,14.02,0
2023-03-01,14.02,14.02,12.27,12.99,0
2023-03-02,12.99,13.55,11.1,12.97,0
2023-03-03,12.97,12.97,11.98,12.18,0
2023-03-06,12.18,12.47,11.84,12.27,0
2023-03-08,12.27,12.85,11.9,12.45,0
2023-03-09,12.45,12.84,11.78,12.73,0
2023-03-10,12.73,13.82,12.73,13.41,0
2023-03-13,13.41,16.43,13.41,16.22,0
2023-03-14,16.22,16.64,15,16.22,0
2023-03-15,16.22,16.5,14.52,16.3,0
2023-03-16,16.3,17.35,13.95,16.22,0
2023-03-17,16.22,16.22,14.6,14.77,0
2023-03-20,14.77,17.22,14.52,16.01,0
2023-03-21,16.01,16.03,14.08,15.08,0
2023-03-22,15.08,15.09,14.24,14.81,0
2023-03-23,14.81,15.06,13.9,14.49,0
2023-03-24,14.49,15.43,14.2,15.24,0
2023-03-27,15.24,16.09,15.1,15.44,0
2023-03-28,15.44,15.61,14.86,15.1,0
2023-03-29,15.1,15.1,13.32,13.63,0
2023-03-31,13.63,13.63,12.07,12.94,0
2023-04-03,12.94,13.49,12.47,12.59,0
2023-04-05,12.59,12.81,12.05,12.41,0
2023-04-06,12.41,12.57,11.65,11.8,0
2023-04-10,11.8,12.56,11.8,12.27,0
2023-04-11,12.27,12.27,11.66,11.98,0
2023-04-12,11.98,12.4,11.98,12.27,0
2023-04-13,12.27,12.51,11.84,11.91,0
2023-04-17,11.91,13.27,11.91,12.27,0
2023-04-18,12.27,12.52,11.86,12.07,0
2023-04-19,12.07,12.47,11.11,12.15,0
2023-04-20,12.15,12.4,11.58,11.94,0
2023-04-21,11.94,12.04,11.52,11.63,0
2023-04-24,11.63,12.2,11.58,11.67,0
2023-04-25,11.67,11.81,11.43,11.52,0
2023-04-26,11.52,11.9,11.3,11.65,0
2023-04-27,11.65,12.02,10.96,11.43,0
2023-04-28,11.43,11.54,10.79,10.95,0
2023-05-02,10.95,12.06,10.95,11.9,0
2023-05-03,11.9,12.25,11.13,11.84,0
2023-05-04,11.84,12.03,11.19,11.73,0
2023-05-05,11.73,12.38,11.53,12.3,0
2023-05-08,12.3,12.91,11.72,12.64,0
2023-05-09,12.64,12.81,11.66,12.68,0
2023-05-10,12.68,13.3,11.54,13.08,0
2023-05-11,13.08,13.74,12.81,13.22,0
2023-05-12,13.22,13.51,12.74,12.85,0
2023-05-15,12.85,13.61,12.54,13.17,0
2023-05-16,13.17,13.48,11.71,13.29,0
2023-05-17,13.29,13.58,11.9,13.1,0
2023-05-18,13.1,13.1,11.14,12.8,0
2023-05-19,12.8,12.82,11.69,12.3,0
2023-05-22,12.3,12.82,11.56,12.57,0
2023-05-23,12.57,13.07,12.32,12.6,0
2023-05-24,12.6,13.44,12.41,13.11,0
2023-05-25,13.11,13.13,8.18,12.52,0
2023-05-26,12.52,12.86,11.7,11.9,0
2023-05-29,11.9,12.49,8.81,12.3,0
2023-05-30,12.3,12.38,11.77,12.01,0
2023-05-31,12.01,12.47,11.58,11.97,0
2023-06-01,11.97,11.97,11.22,11.6,0
2023-06-02,11.6,11.73,10.86,11.12,0
2023-06-05,11.12,11.34,10.32,11.14,0
2023-06-06,11.14,11.62,10.47,11.38,0
2023-06-07,11.38,11.54,9.64,11.44,0
2023-06-08,11.44,11.57,10.13,11.26,0
2023-06-09,11.26,11.3,10.31,11.12,0
2023-06-12,11.12,11.8,10.58,11.24,0
2023-06-13,11.24,11.25,9.99,11.11,0
2023-06-14,11.11,11.37,10.63,11.16,0
2023-06-15,11.16,11.37,9.69,11.08,0
2023-06-16,11.08,11.08,10.56,10.84,0
2023-06-19,10.84,11.5,10.33,11.23,0
2023-06-20,11.23,11.44,10.57,11.13,0
2023-06-21,11.13,11.43,10.77,11.29,0
2023-06-22,11.29,11.71,10.69,11.55,0
2023-06-23,11.55,11.84,11.14,11.23,0
2023-06-26,11.23,11.93,11.23,11.4,0
2023-06-27,11.4,11.42,10.69,10.78,0
2023-06-28,10.78,11.53,10.65,10.89,0
2023-06-30,10.89,11.22,10.07,10.8,0
2023-07-03,10.8,12.03,10.8,11.54,0
2023-07-04,11.54,11.99,11.52,11.7,0
2023-07-05,11.7,12.21,11.57,11.88,0
2023-07-06,11.88,12.2,11.78,11.84,0
2023-07-07,11.84,12.07,11.08,11.53,0
2023-07-10,11.53,12.01,11.36,11.46,0
2023-07-11,11.46,11.46,10.94,11.01,0
