epoc,open,high,low,close,volume
1500446700,9817.45,9827.1,9817.1,9820.6,0
1500447600,9822.2,9823.25,9820.55,9821.4,0
1500448500,9818.85,9818.85,9811.7,9812.4,0
1500449400,9811.8,9816.05,9809.5,9809.5,0
1500450300,9810.2,9810.9,9805.4,9807.35,0
1500451200,9807.35,9810.55,9806.5,9806.65,0
1500452100,9795.75,9797.0,9790.25,9791.25,0
1500453000,9794.0,9806.35,9794.0,9805.55,0
1500453900,9807.3,9814.85,9806.65,9810.55,0
1500454800,9810.7,9820.85,9809.45,9818.6,0
1500455700,9818.7,9833.4,9818.1,9820.95,0
1500456600,9828.6,9831.85,9822.75,9822.75,0
1500457500,9826.05,9828.45,9820.75,9825.8,0
1500435000,9794.3,9794.3,9794.3,9794.3,0
1500435900,9798.7,9798.7,9785.35,9789.45,0
1500436800,9788.2,9810.65,9788.2,9802.35,0
1500437700,9802.4,9815.75,9800.4,9814.05,0
1500438600,9814.45,9815.35,9804.9,9806.45,0
1500439500,9806.95,9812.4,9806.95,9812.4,0
1500440400,9813.05,9817.1,9811.8,9815.3,0
1500441300,9816.2,9816.4,9810.15,9810.2,0
1500442200,9809.35,9813.85,9802.25,9806.1,0
1500443100,9808.4,9808.4,9801.8,9807.3,0
1500444000,9807.95,9816.8,9807.95,9814.25,0
1500444900,9814.65,9814.65,9811.3,9812.3,0
1500445800,9813.2,9816.6,9810.0,9814.1,0
1500446700,9817.45,9827.1,9817.1,9820.6,0
1500447600,9822.2,9823.25,9820.55,9821.4,0
1500448500,9818.85,9818.85,9811.7,9812.4,0
1500449400,9811.8,9816.05,9809.5,9809.5,0
1500450300,9810.2,9810.9,9805.4,9807.35,0
1500451200,9807.35,9810.55,9806.5,9806.65,0
1500452100,9795.75,9797.0,9790.25,9791.25,0
1500453000,9794.0,9806.35,9794.0,9805.55,0
1500453900,9807.3,9814.85,9806.65,9810.55,0
1500454800,9810.7,9820.85,9809.45,9818.6,0
1500455700,9818.7,9833.4,9818.1,9820.95,0
1500456600,9828.6,9831.85,9822.75,9822.75,0
1500457500,9826.05,9828.45,9820.75,9825.8,0
1500521400,9852.05,9852.05,9852.05,9852.05,0
1500522300,9852.4,9869.55,9852.4,9861.0,0
1500523200,9863.3,9866.25,9852.75,9866.15,0
1500524100,9867.2,9872.75,9864.65,9864.65,0
1500525000,9861.7,9865.7,9856.65,9859.6,0
1500525900,9858.75,9863.8,9851.85,9863.8,0
1500526800,9862.55,9866.2,9857.35,9864.75,0
1500527700,9868.85,9871.95,9864.25,9869.3,0
1500528600,9871.1,9878.1,9871.1,9878.1,0
1500529500,9880.05,9880.05,9868.1,9868.1,0
1500530400,9870.9,9875.25,9866.5,9866.5,0
1500531300,9866.4,9868.45,9863.45,9866.5,0
1500532200,9865.15,9868.2,9862.8,9863.95,0
1500533100,9863.95,9863.95,9843.1,9850.6,0
1500534000,9848.3,9856.9,9848.3,9852.45,0
1500534900,9854.0,9856.65,9843.45,9847.65,0
1500535800,9849.85,9863.7,9849.85,9861.5,0
1500536700,9863.2,9868.8,9859.8,9868.8,0
1500537600,9869.55,9871.85,9862.55,9866.85,0
