timestamp,open,high,low,close,volume
2015-12-31,14.35,14.49,12.98,13.87,0
2016-01-01,13.87,14.35,13.11,14.26,0
2016-01-04,14.26,17.1,14.03,16.84,0
2016-01-05,16.84,16.84,15.57,16.7,0
2016-01-06,16.7,17.16,15.61,16.55,0
2016-01-07,16.55,19.26,16.49,18.96,0
2016-01-08,18.96,18.96,16.87,17.8,0
2016-01-11,17.8,19.2,17.8,18.69,0
2016-01-12,18.69,19.19,17.15,18.71,0
2016-01-13,18.71,19.66,17.52,18.35,0
2016-01-14,18.35,19.79,16.47,18.61,0
2016-01-15,18.61,19.69,15.67,19.42,0
2016-01-18,19.42,20.54,18.1,20.23,0
2016-01-19,20.23,20.23,17.93,18.43,0
2016-01-20,18.43,22.11,17.19,20.97,0
2016-01-21,20.97,21.69,17.85,20.81,0
2016-01-22,20.81,20.81,17.12,18.82,0
2016-01-25,18.82,19.15,17.21,18.27,0
2016-01-27,18.27,19.27,17.94,19.06,0
2016-01-28,19.06,19.06,17.26,17.9,0
2016-01-29,17.9,18.8,17.08,17.24,0
2016-02-01,17.24,18.17,17.13,17.89,0
2016-02-02,17.89,18.35,16.49,18.04,0
2016-02-03,18.04,18.94,18.02,18.59,0
2016-02-04,18.59,18.65,17.33,18.21,0
2016-02-05,18.21,18.33,16.54,18.12,0
2016-02-08,18.12,20.45,17.36,20.26,0
2016-02-09,20.26,22.03,20.25,21.73,0
2016-02-10,21.73,23.1,21.44,22.47,0
2016-02-11,22.47,26.87,22.11,25.97,0
2016-02-12,25.97,25.97,24.01,24.67,0
2016-02-15,24.67,24.67,21.8,22.38,0
2016-02-16,22.38,23.33,17.32,23.04,0
2016-02-17,23.04,23.81,20.64,21.83,0
2016-02-18,21.83,22.3,19.79,21.49,0
2016-02-19,21.49,21.66,17.7,20.92,0
2016-02-22,20.92,21.86,17.41,21.02,0
2016-02-23,21.02,24.64,21.02,23.84,0
2016-02-24,23.84,24.82,22.13,22.96,0
2016-02-25,22.96,23.49,22.2,22.75,0
2016-02-26,22.75,23.15,21.19,21.87,0
2016-02-29,21.87,22.41,19.36,20.16,0
2016-03-01,20.16,20.16,18.4,18.67,0
2016-03-02,18.67,19.2,17.5,18.99,0
2016-03-03,18.99,19.02,17.91,18.04,0
2016-03-04,18.04,18.32,17.2,17.88,0
2016-03-08,17.88,18.98,17.41,18.47,0
2016-03-09,18.47,18.68,17.32,17.51,0
2016-03-10,17.51,18.24,16.27,17.9,0
2016-03-11,17.9,17.9,16.03,17.1,0
2016-03-14,17.1,17.4,15.59,17.1,0
2016-03-15,17.1,17.84,15.23,17.6,0
2016-03-16,17.6,17.88,14.6,17.12,0
2016-03-17,17.12,17.28,15.56,16.84,0
2016-03-18,16.84,16.87,14.9,16.38,0
2016-03-21,16.38,17.11,14.83,16.33,0
2016-03-22,16.33,16.86,13.7,16.43,0
2016-03-23,16.43,16.87,13.95,16.35,0
